,Topics,Authors,Date,Description
0,"Democratic transformations in Eastern Europe : the efficacy of norm diffusion strategies of the EU and NATO 
","Fuior, Corneliu",2007-03,"In the process of international socialization, states are induced to adopt the constitutive norms and rules of  the international community. This thesis examines the process of norm transfer by International Organizations ..."
1,"Coercion, cash-crops and culture from insurgency to proto-state in Asia's opium belt 
","Merz, Andrew A.",2008-06,"This thesis is a comparative study of conflict and opium in the Golden Crescent  and Golden Triangle, focusing in particular on Afghanistan-Pakistan and Burma. It takes  a state building approach to analyze the formation ..."
2,"Littoral Combat Ship (LCS) mission packages determining  the best mix 
","Abbott, Benjamin P.",2008-03,The threat of a large fleet engagement in the open ocean is currently over shadowed by the asymmetric challenges  presented by state and non-state actors using the littorals for illicit purposes. Unlike traditional ...
3,"The next best alternative to an ideal recruit attrition characteristics of recruits with waivers and low educational credentials in the Army 
","Ayhan, Serhat.",2009-03,"The supply of high quality recruits is limited and services are facing a diminishing recruiting market. Under  these constraints, it is important to identify which groups of recruits are the next best alternatives to an ..."
4,"Missile defense certification examination of the U.S. Navy  Aegis warship and U.S. Army patriot crew certification  process 
","Biggs, Robert C.",2008-09,The process employed by Naval Surface Forces to capture information during warfare certification is enabled by a computer-based feedback mechanism. The Surface Force Type Commander employs two information management system ...
5,"The intelligence phenomenon in a new democratic milieu Romania - a case study 
","Filip, Valentin F.",2006-03,"In the post-Cold War era, two major trends illustrate the evolution of the international security environment: the spread of democracies and the emergence of asymmetric threats. The former focuses on freedom, the latter ..."
6,"Density as a cost driver in Naval submarine  design and procurement 
","Grant, Benjamin P.",2008-06,This thesis examines density reduction as an alternative to weight or size reduction when decision makers seek  options for lower-cost submarine designs. The parameter density measures how tightly systems and equipment are ...
7,"Business case analysis of the Joint Strike Fighter's alternate engine program 
","Shick, BethAnn.",2007-12,"The Joint Strike Fighter (JSF) program is the largest Department of Defense  (DoD) military aircraft acquisition program to date. The JSF will serve the Air Force,  Navy and Marine Corps, as well as many of our key ..."
8,"Undersea node localization using node-to-node acoustic ranges in a distributed Seaweb network 
","Zinkhon, David C.",2009-03,Seaweb is a wide-area network interconnecting a set of distributed underwater nodes through the use of a DSP-based acoustic communications modem at each node and through-water digital acoustic links between neighboring ...
9,"North Korea's Juche ideology and the German re-unification experience 
","Juetten, Stephan A.",2008-06,"This thesis analyzes potential socio-cultural discord upon eventual Korean national reunification, owing to the predominance  of the cultic state ideology of Juche in North Korea. Juche has become the fundamental framework ..."
10,"Security culture in times of war: how did the Balkan War affect the security cultures in Germany and the United States? 
","Reimers, Frank.",2007-06,This thesis uses a comparative case study approach to examine how security  cultures change under the impact of political shocks and learning through failure. The  thesis thus analyzes the security cultures of Germany and ...
11,"The Effect of Shipboard Design Decisions in Amphibious Warfare 
","Poniatoski, Jessica L.",2012-06,"Recently, a major decision was made by the Navy to eliminate a key capability from the future ship of the amphibious fleet. The removal of the well deck from the future LHA (R) amphibious assault ship is attempting to ..."
12,"Employing organizational modeling and simulation to deconstruct the KC-135 aircraft's programmed depot maintenance flight controls repair cell 
","Paskin, Matthew A.; Trevino, Alice W.",2007-12,This research modeled and simulated the KC-135 aircraft's Programmed Depot  Maintenance (PDM) Flight Controls Repair Cell to identify improvement opportunities  for greater efficiency within the flight controls repair ...
13,"Best practices in the Navy's energy programs : strategic communication factors operating in the tactical forces 
","Haley, Ryan C.; Klotzbach, Roy Michael; Fox, Shane M.",2009-12,The Department of the Navy is the second largest consumer of petroleum within the Department of Defense and has  been tasked by Navy leadership to reduce energy costs in the tactical forces. Energy conservation can be both ...
14,"Energy regulation effects on critical infrastructure protection 
","McQuinn, Matthew E.",2008-12,"U.S. critical infrastructure includes those assets that are vital to maintaining the nation's security, economy, and public health and safety. A reliable supply of electric power provides an essential foundation for the ..."
15,"Modeling and frequency tracking of marine mammal whistle calls 
","Severson, Jared",2009-02,Marine mammal whistle calls present an attractive medium for covert underwater communications. High quality models of the whistle calls are needed in order to synthesize natural-sounding whistles with embedded information. ...
16,"NOVEL SYNTHESIS AND CHARACTERIZATION OF INORGANIC FULLERENE TYPE WS2 AND GRAPHENE HYBRIDS 
","Maxson, Ashley R.",2013-03,"With the aim to develop personal protection systems with improved mechanical properties and reduced weight, this research combined graphene with tungsten disulfide, and studied this hybrid system included in epoxy resin. ..."
17,"Numerical Performance Prediction of a Miniature at Mach 4 
","Chen, Bingqiang",2012-09,"Using a 3-D axis-symmetric model, the cold-flow performance of a miniature ramjet in Mach 4 flow was predicted with the computational fluids dynamic (CFD) code from ANSYS-CFX. The nozzle-throat area was varied to increase ..."
